Date,Day,Stratum,StartLatitude,StartLongitude,StationCode,Region,SubRegion,TimeStart,EC,AvgTemp,AvgTurbidity,AvgSecchi,AvgStartDepth,Method,NumberTows,TowDuration,TowDirection,Species,Catch,FL_Range,Expression,Stage,Mark
12/8/2022,Thursday,Lower San Joaquin,38.03044,-121.7429,23-19-LSJ07,West,Lower San Joaquin River,10:56,3246,10.58,17.3,0.71,4.38,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/8/2022,Thursday,Suisun Marsh,38.18884,-121.93041,23-19-SM01,West,Suisun Marsh,9:35,10806.5,9.95,19.43,0.65,5.58,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/8/2022,Thursday,Suisun Marsh,38.17518,-122.01486,23-19-SM02,West,Suisun Marsh,11:31,14329,10.28,35.47,0.42,7.55,Kodiak,4,10,D,LFS,5,73-80,n/p,n/p,None
12/8/2022,Thursday,Suisun Marsh,38.16627,-122.04359,23-19-SM03,West,Suisun Marsh,12:51,18235.5,10.47,35.97,0.43,8.82,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/9/2022,Friday,Lower Sacramento,38.12464,-121.6999,23-19-LSR04,North,Sacramento River Near Rio Vista,12:18,388.32,9.9,10.67,1.28,8.68,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/9/2022,Friday,Lower Sacramento,38.10592,-121.71804,23-19-LSR07,North,Sacramento River Near Rio Vista,10:57,802.5,9.97,12.33,0.95,10.32,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p
12/9/2022,Friday,Lower Sacramento,38.08546,-121.7445,23-19-LSR03,West,Lower Sacramento River,9:47,1635.75,10.1,13.4,0.76,8.82,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p
12/12/2022,Monday,Lower Sacramento,38.09988,-121.68541,23-20-LSR03,North,Sacramento River Near Rio Vista,8:28,991.75,9.85,11.18,0.99,7.8,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/12/2022,Monday,Lower Sacramento,38.10063,-121.72635,23-20-LSR06,North,Sacramento River Near Rio Vista,9:54,1273.25,9.85,16.9,0.62,9.22,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p
12/12/2022,Monday,Lower Sacramento,38.08369,-121.75479,23-20-LSR04,West,Lower Sacramento River,11:11,1373.5,9.95,17.58,0.61,9.88,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p
12/12/2022,Monday,Lower San Joaquin,38.08467,-121.67941,23-20-LSJ01,South,San Joaquin at Twitchell Island,10:12,1025.25,10.2,13.4,1.12,14.38,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p
12/12/2022,Monday,Lower San Joaquin,38.09563,-121.62591,23-20-LSJ02,South,San Joaquin at Twitchell Island,11:36,614,10.3,9.39,1.34,5.32,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p
12/12/2022,Monday,Lower San Joaquin,38.02182,-121.77558,23-20-LSJ04,West,Lower San Joaquin River,8:26,4301.75,10.3,15.8,0.78,5.85,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p
12/12/2022,Monday,Suisun Bay,38.04116,-122.13388,23-20-SB03,Far West,West Suisun Bay,10:10,22713.25,10.53,30.42,0.51,14.6,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p
12/12/2022,Monday,Suisun Bay,38.06866,-122.09022,23-20-SB04,Far West,West Suisun Bay,11:33,20290,10.65,21.63,0.61,5.35,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p
12/12/2022,Monday,Suisun Bay,38.05196,-122.07874,23-20-SB05,Far West,West Suisun Bay,8:46,21435,10.53,27.88,0.53,9.43,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p
12/12/2022,Monday,Suisun Bay,38.05714,-122.0421,23-20-SB06,Far West,West Suisun Bay,8:26,n/p,n/p,n/p,n/p,n/p,Kodiak,0,n/p,n/p,n/p,n/p,n/p,n/p,n/p,n/p
12/13/2022,Tuesday,Lower Sacramento,38.11083,-121.70866,23-20-LSR01,North,Sacramento River Near Rio Vista,11:02,438.28,9.7,13.33,1,6.2,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p
12/13/2022,Tuesday,Lower Sacramento,38.11404,-121.70011,23-20-LSR02,North,Sacramento River Near Rio Vista,9:46,399.72,9.6,9.77,1.22,5.97,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p
12/13/2022,Tuesday,Lower Sacramento,38.1773,-121.66812,23-20-LSR05,North,Sacramento River Near Rio Vista,8:17,169.15,9.58,7.19,1.44,14.2,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/13/2022,Tuesday,Lower San Joaquin,38.08342,-121.57003,23-20-LSJ03,South,San Joaquin at Prisoners Point,11:23,432.7,10.08,7.95,1.25,8.75,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p
12/13/2022,Tuesday,Lower San Joaquin,38.05513,-121.52486,23-20-LSJ05,South,San Joaquin at Prisoners Point,9:49,499.22,10.08,8.84,1.6,12.22,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/13/2022,Tuesday,Lower San Joaquin,38.1002,-121.6143,23-20-LSJ06,South,San Joaquin at Twitchell Island,8:05,490.68,9.87,8.87,1.2,6.97,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/13/2022,Tuesday,Suisun Bay,38.04575,-121.93184,23-20-SB01,West,Confluence,9:47,11135.25,10.25,21.8,0.58,18.18,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p
12/13/2022,Tuesday,Suisun Bay,38.04353,-121.83571,23-20-SB02,West,Confluence,8:19,5968.75,10.13,27.72,0.48,9.05,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/13/2022,Tuesday,Suisun Bay,38.07922,-121.99486,23-20-SB07,West,Mid Suisun Bay,11:19,14886.5,10.27,26.23,0.53,5.2,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p
12/14/2022,Wednesday,Sac Deep Water Shipping Channel,38.19836,-121.65653,23-20-SSC01,North,Lower Sacramento River Shipping Channel,11:45,161.08,9.63,11.25,1.22,14.15,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p
12/14/2022,Wednesday,Sac Deep Water Shipping Channel,38.27021,-121.66252,23-20-SSC02,North,Lower Sacramento River Shipping Channel,10:15,174.27,9.47,11.45,0.95,9.2,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p
12/14/2022,Wednesday,Sac Deep Water Shipping Channel,38.27875,-121.66044,23-20-SSC03,North,Lower Sacramento River Shipping Channel,8:58,174.93,9.42,11.75,0.91,11.5,Kodiak,4,10,D,RBTC,1,187,n/p,5,AdClipped
12/14/2022,Wednesday,Suisun Marsh,38.20273,-121.91059,23-20-SM01,West,Suisun Marsh,10:47,n/p,n/p,n/p,n/p,n/p,Kodiak,0,n/p,n/p,n/p,n/p,n/p,n/p,n/p,n/p
12/14/2022,Wednesday,Suisun Marsh,38.18316,-121.98903,23-20-SM02,West,Suisun Marsh,11:37,9611.5,9.9,19.77,0.77,8,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p
12/14/2022,Wednesday,Suisun Marsh,38.12538,-121.89754,23-20-SM05,West,Suisun Marsh,9:06,6200.25,9.8,21.35,0.58,4.5,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p
12/14/2022,Wednesday,Suisun Marsh,38.16934,-122.0245,23-20-SM07,West,Suisun Marsh,12:51,9760.25,10.05,24.5,0.58,8.68,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p
12/15/2022,Thursday,Cache Slough Liberty Island,38.24862,-121.68691,23-20-CS01,North,Cache Slough and Liberty Island,9:49,168.47,9.37,15.28,0.92,10.97,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/15/2022,Thursday,Cache Slough Liberty Island,38.24108,-121.68493,23-20-CS02,North,Cache Slough and Liberty Island,11:08,167.48,9.4,14.9,0.94,9.6,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/15/2022,Thursday,Cache Slough Liberty Island,38.25921,-121.74774,23-20-CS03,North,Cache Slough and Liberty Island,8:25,185.55,8.75,2.52,1.8,5.47,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/15/2022,Thursday,Southern Delta,38.03492,-121.52509,23-20-SD01,South,Mildred Island West,10:39,463.6,9.8,8.68,1.8,5.68,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/15/2022,Thursday,Southern Delta,38.00227,-121.52182,23-20-SD02,South,Mildred Island West,9:24,590,9.7,6.3,1.8,9.72,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/15/2022,Thursday,Southern Delta,37.94499,-121.55961,23-20-SD03,South,Old River,8:01,707.75,9.5,3.68,1.8,4.9,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/15/2022,Thursday,Suisun Marsh,38.14647,-122.05798,23-20-SM03,West,Suisun Marsh,10:09,12239.25,9.6,24.82,0.56,8.57,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p
12/15/2022,Thursday,Suisun Marsh,38.12923,-122.05702,23-20-SM04,West,Suisun Marsh,11:26,12790,9.75,39.12,0.48,3.78,Kodiak,4,10,U,LFS,1,63,n/p,n/p,None
12/15/2022,Thursday,Suisun Marsh,38.12158,-122.07618,23-20-SM06,West,Suisun Marsh,8:24,n/p,n/p,n/p,n/p,n/p,Kodiak,0,n/p,n/p,n/p,n/p,n/p,n/p,n/p,n/p
12/15/2022,Thursday,Suisun Marsh,38.1706,-122.06885,23-20-SM08,West,Suisun Marsh,8:47,12460.5,9.55,27.38,0.5,10.85,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/19/2022,Monday,Sac Deep Water Shipping Channel,38.43183,-121.60306,23-21-SSC01,North,Lower Sacramento River Shipping Channel,9:35,525.5,8.9,72,0.25,10.93,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/19/2022,Monday,Sac Deep Water Shipping Channel,38.27539,-121.66181,23-21-SSC03,North,Lower Sacramento River Shipping Channel,8:01,225.15,8.85,19.85,0.6,6.36,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/19/2022,Monday,Sac Deep Water Shipping Channel,38.55696,-121.57347,23-21-SSC02,North,Upper Sacramento River Shipping Channel,11:12,959.75,10,8.65,1.29,12.12,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/19/2022,Monday,Southern Delta,38.05554,-121.64135,23-21-SD01,South,Franks Tract,9:54,772.5,9.2,15.95,1.05,7.55,Kodiak,4,10,D,CHNT,1,159,n/p,5,AdClipped
12/19/2022,Monday,Southern Delta,38.04059,-121.60275,23-21-SD02,South,Franks Tract,8:30,n/p,n/p,n/p,n/p,n/p,Kodiak,0,n/p,n/p,n/p,n/p,n/p,n/p,n/p,n/p
12/19/2022,Monday,Southern Delta,38.05511,-121.61989,23-21-SD05,South,Franks Tract,8:32,n/p,n/p,n/p,n/p,n/p,Kodiak,0,n/p,n/p,n/p,n/p,n/p,n/p,n/p,n/p
12/19/2022,Monday,Southern Delta,38.0559,-121.65545,23-21-SD07,South,Franks Tract,8:40,769,9.25,12.95,1.06,8.89,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/19/2022,Monday,Southern Delta,38.00567,-121.51564,23-21-SD03,South,Mildred Island West,11:49,432.2,9.15,7.27,1.8,8.15,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/19/2022,Monday,Suisun Bay,38.03173,-122.13586,23-21-SB02,Far West,West Suisun Bay,11:32,31241.5,9.85,27.1,0.54,18.4,Kodiak,2,10,U,n/p,n/p,n/p,n/p,n/p,n/p
12/19/2022,Monday,Suisun Bay,38.07839,-122.07657,23-21-SB06,Far West,West Suisun Bay,10:03,28332.25,9.98,53.6,0.26,5.22,Kodiak,4,10,D,LFS,18,52-103,n/p,n/p,None
12/19/2022,Monday,Suisun Bay,38.05581,-122.00453,23-21-SB01,West,Mid Suisun Bay,8:24,n/p,n/p,n/p,n/p,n/p,Kodiak,0,n/p,n/p,n/p,n/p,n/p,n/p,n/p,n/p
12/19/2022,Monday,Suisun Bay,38.0949,-122.06249,23-21-SB03,West,Mid Suisun Bay,8:42,20272.25,9.33,24.8,0.5,6.97,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/20/2022,Tuesday,Lower Sacramento,38.13189,-121.69059,23-21-LSR03,North,Sacramento River Near Rio Vista,7:57,163.45,8.42,14.1,0.86,3.72,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/20/2022,Tuesday,Lower Sacramento,38.09345,-121.73297,23-21-LSR04,North,Sacramento River Near Rio Vista,9:20,656.75,8.83,21.87,0.53,8.15,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/20/2022,Tuesday,Lower Sacramento,38.07308,-121.77,23-21-LSR05,West,Lower Sacramento River,10:41,4135.25,9.2,33.43,0.39,9.95,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/20/2022,Tuesday,Southern Delta,38.02545,-121.56388,23-21-SD09,South,Holland Cut,12:10,635.75,8.65,9.67,1.37,8.68,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/20/2022,Tuesday,Southern Delta,37.93949,-121.53801,23-21-SD08,South,Middle River West,10:02,544.2,8.8,4.71,1.8,7.96,Kodiak,5,10,U,n/p,n/p,n/p,n/p,n/p,n/p
12/20/2022,Tuesday,Southern Delta,37.98312,-121.52765,23-21-SD04,South,Mildred Island West,8:25,523.5,8.87,4.26,1.8,7.6,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/20/2022,Tuesday,Southern Delta,37.97298,-121.53445,23-21-SD06,South,Mildred Island West,9:45,n/p,n/p,n/p,n/p,n/p,Kodiak,0,n/p,n/p,n/p,n/p,n/p,n/p,n/p,n/p
12/20/2022,Tuesday,Suisun Bay,38.06099,-121.86504,23-21-SB04,West,Confluence,8:54,6756,9.2,20.1,0.67,16.12,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/20/2022,Tuesday,Suisun Bay,38.06045,-121.85046,23-21-SB07,West,Confluence,11:20,11919.75,9.33,29.5,0.44,7.68,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/20/2022,Tuesday,Suisun Bay,38.07181,-121.9995,23-21-SB05,West,Mid Suisun Bay,8:18,16494.25,9.05,25.12,0.55,3.55,Kodiak,4,10,D,LFS,4,65-93,n/p,n/p,None
12/22/2022,Thursday,Cache Slough Liberty Island,38.27685,-121.70992,23-21-CS01,North,Cache Slough and Liberty Island,8:30,n/p,n/p,n/p,n/p,n/p,Kodiak,0,n/p,n/p,n/p,n/p,n/p,n/p,n/p,n/p
12/22/2022,Thursday,Cache Slough Liberty Island,38.28709,-121.71718,23-21-CS02,North,Cache Slough and Liberty Island,8:33,n/p,n/p,n/p,n/p,n/p,Kodiak,0,n/p,n/p,n/p,n/p,n/p,n/p,n/p,n/p
12/22/2022,Thursday,Cache Slough Liberty Island,38.27652,-121.66534,23-21-CS03,North,Cache Slough and Liberty Island,11:07,192.42,7.9,15,0.77,6.78,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/22/2022,Thursday,Cache Slough Liberty Island,38.24598,-121.6733,23-21-CS04,North,Cache Slough and Liberty Island,9:42,n/p,n/p,n/p,n/p,n/p,Kodiak,0,n/p,n/p,n/p,n/p,n/p,n/p,n/p,n/p
12/22/2022,Thursday,Cache Slough Liberty Island,38.247,-121.70669,23-21-CS05,North,Cache Slough and Liberty Island,8:52,192.05,8,8.4,1.23,5.1,Kodiak,2,5.5,D,n/p,n/p,n/p,n/p,n/p,n/p
12/22/2022,Thursday,Cache Slough Liberty Island,38.25704,-121.6717,23-21-CS06,North,Cache Slough and Liberty Island,9:52,184.47,8,15.45,0.76,9.2,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/22/2022,Thursday,Lower San Joaquin,38.04417,-121.49945,23-21-LSJ01,South,San Joaquin at Prisoners Point,11:40,402.8,8.67,10.59,1.27,9.3,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/22/2022,Thursday,Lower San Joaquin,38.05982,-121.68327,23-21-LSJ04,South,San Joaquin at Twitchell Island,10:04,912.75,8.8,16.23,0.83,6.58,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/22/2022,Thursday,Lower San Joaquin,38.02409,-121.75883,23-21-LSJ03,West,Lower San Joaquin River,8:41,2012.5,8.8,15.3,0.67,5.58,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p
12/22/2022,Thursday,Suisun Marsh,38.10504,-122.05773,23-21-SM01,West,Grizzly Bay,8:26,19464.5,9.03,24.25,0.43,3.62,Kodiak,4,10,D,CHN,1,154,n/p,5,None
12/22/2022,Thursday,Suisun Marsh,38.10504,-122.05773,23-21-SM01,West,Grizzly Bay,8:26,19464.5,9.03,24.25,0.43,3.62,Kodiak,4,10,D,LFS,3,68-86,n/p,n/p,None
12/22/2022,Thursday,Suisun Marsh,38.12732,-122.08192,23-21-SM02,West,Suisun Marsh,9:38,n/p,n/p,n/p,n/p,n/p,Kodiak,0,n/p,n/p,n/p,n/p,n/p,n/p,n/p,n/p
12/22/2022,Thursday,Suisun Marsh,38.18657,-121.9825,23-21-SM03,West,Suisun Marsh,11:53,11725.5,8.7,68.4,0.25,9.25,Kodiak,2,10,D,LFS,12,65-90,n/p,n/p,None
12/22/2022,Thursday,Suisun Marsh,38.19158,-122.03774,23-21-SM04,West,Suisun Marsh,10:15,9385.5,8.58,87.65,0.18,7.32,Kodiak,4,10,D,LFS,5,73-97,n/p,n/p,None
12/23/2022,Friday,Lower Sacramento,38.12328,-121.70131,23-21-LSR06,North,Sacramento River Near Rio Vista,7:47,639.5,8.3,16.05,0.75,9,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p
12/23/2022,Friday,Lower Sacramento,38.06657,-121.77899,23-21-LSR01,West,Lower Sacramento River,10:26,3181.75,8.78,22.55,0.54,9.43,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/23/2022,Friday,Lower Sacramento,38.05952,-121.80661,23-21-LSR02,West,Lower Sacramento River,9:14,4401,8.7,25.03,0.45,11.15,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p
12/23/2022,Friday,Lower San Joaquin,38.08261,-121.57204,23-21-LSJ05,South,San Joaquin at Prisoners Point,7:47,371.78,8.55,9.44,1.06,10.85,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p
12/23/2022,Friday,Lower San Joaquin,38.10242,-121.62279,23-21-LSJ02,South,San Joaquin at Twitchell Island,10:10,474.12,8.83,10.86,1.17,17.4,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p
12/23/2022,Friday,Lower San Joaquin,38.0989,-121.62554,23-21-LSJ06,South,San Joaquin at Twitchell Island,9:06,488.17,8.8,11.3,1.03,9.75,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p
12/23/2022,Friday,Suisun Marsh,38.10939,-122.05444,23-21-SM07,West,Grizzly Bay,8:27,17738,8.75,24.25,0.52,3.35,Kodiak,4,10,U,LFS,2,73-92,n/p,n/p,None
12/23/2022,Friday,Suisun Marsh,38.15059,-122.05582,23-21-SM05,West,Suisun Marsh,9:49,13244.75,8.7,32.38,0.48,11.4,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p
12/23/2022,Friday,Suisun Marsh,38.17252,-122.05687,23-21-SM06,West,Suisun Marsh,11:17,14581.25,8.78,78.02,0.29,9.47,Kodiak,4,10,D,LFS,13,60-101,n/p,n/p,None
12/27/2022,Tuesday,Suisun Marsh,38.07637,-121.88321,23-22-SM01,West,Suisun Marsh,8:34,6415,8.9,33.6,0.43,7.72,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p
12/27/2022,Tuesday,Suisun Marsh,38.18818,-122.00171,23-22-SM02,West,Suisun Marsh,8:30,n/p,n/p,n/p,n/p,n/p,Kodiak,0,n/p,n/p,n/p,n/p,n/p,n/p,n/p,n/p
12/27/2022,Tuesday,Suisun Marsh,38.14682,-122.06897,23-22-SM03,West,Suisun Marsh,9:00,n/p,n/p,n/p,n/p,n/p,Kodiak,0,n/p,n/p,n/p,n/p,n/p,n/p,n/p,n/p
12/27/2022,Tuesday,Suisun Marsh,38.15062,-122.05526,23-22-SM06,West,Suisun Marsh,10:32,14804,9.05,86.65,0.31,8.85,Kodiak,2,10,U,LFS,11,66-91,n/p,n/p,None
12/28/2022,Wednesday,Lower Sacramento,38.11056,-121.7025,23-22-LSR03,North,Sacramento River Near Rio Vista,10:57,1338.5,8.58,24.38,0.59,6.2,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p
